item_name,date,sale_units,stock_level,price,cost,stock_apple,stock_banana,stock_orange,stock_cucumber,stock_okra,stock_potato,stock_tomato,profit
Fruity Veggie Smoothie,2010-01-04,51,65,187,112,9300,6200,4340,4650,1550,7440,5270,3154
Spicy Veggie Stir-Fry,2010-01-04,62,71,189,113,10800,7200,5040,5400,1800,8640,6120,4149
Tropical Fruit Salad,2010-01-05,39,47,135,81,6900,4600,3220,3450,1150,5520,3910,1944
Garden Vegetable Medley,2010-01-05,64,76,130,78,11100,7400,5180,5550,1850,8880,6290,2678
Hearty Potato Curry,2010-01-05,71,74,164,98,11550,7700,5390,5775,1925,9240,6545,3934
Fruity Veggie Smoothie,2010-01-05,63,77,187,112,11850,7900,5530,5925,1975,9480,6715,4055
Spicy Veggie Stir-Fry,2010-01-05,43,54,189,113,7800,5200,3640,3900,1300,6240,4420,2629
Tropical Fruit Salad,2010-01-06,62,75,135,81,10800,7200,5040,5400,1800,8640,6120,2673
Garden Vegetable Medley,2010-01-06,54,59,130,78,9000,6000,4200,4500,1500,7200,5100,2340
Hearty Potato Curry,2010-01-06,63,72,164,98,11100,7400,5180,5550,1850,8880,6290,3408
Fruity Veggie Smoothie,2010-01-06,49,63,187,112,9150,6100,4270,4575,1525,7320,5185,2892
Spicy Veggie Stir-Fry,2010-01-06,69,75,189,113,11250,7500,5250,5625,1875,9000,6375,4566
Tropical Fruit Salad,2010-01-07,43,56,135,81,8550,5700,3990,4275,1425,6840,4845,2268
Garden Vegetable Medley,2010-01-07,56,55,130,78,8550,5700,3990,4275,1425,6840,4845,2314
Hearty Potato Curry,2010-01-07,65,78,164,98,11700,7800,5460,5850,1950,9360,6630,3508
Fruity Veggie Smoothie,2010-01-07,60,72,187,112,11250,7500,5250,5625,1875,9000,6375,3942
Spicy Veggie Stir-Fry,2010-01-07,58,72,189,113,10500,7000,4900,5250,1750,8400,5950,3619
Tropical Fruit Salad,2010-01-08,39,49,135,81,7350,4900,3430,3675,1225,5880,4165,1836
Garden Vegetable Medley,2010-01-08,58,74,130,78,10950,7300,5110,5475,1825,8760,6205,2756
Hearty Potato Curry,2010-01-08,63,77,164,98,11250,7500,5250,5625,1875,9000,6375,3638
Fruity Veggie Smoothie,2010-01-08,41,49,187,112,7050,4700,3290,3525,1175,5640,3995,2777
Spicy Veggie Stir-Fry,2010-01-08,49,62,189,113,9300,6200,4340,4650,1550,7440,5270,2822
Tropical Fruit Salad,2010-01-09,71,101,135,81,10650,7100,4970,5325,1775,8520,6035,2619
Garden Vegetable Medley,2010-01-09,46,68,130,78,7350,4900,3430,3675,1225,5880,4165,1508
Hearty Potato Curry,2010-01-09,64,94,164,98,9450,6300,4410,4725,1575,7560,5355,2518
Fruity Veggie Smoothie,2010-01-09,74,104,187,112,10500,7000,4900,5250,1750,8400,5950,3567
Spicy Veggie Stir-Fry,2010-01-09,55,77,189,113,8100,5400,3780,4050,1350,6480,4590,2592
Tropical Fruit Salad,2010-01-10,67,103,135,81,10050,6700,4690,5025,1675,8040,5695,2673
Garden Vegetable Medley,2010-01-10,79,107,130,78,11250,7500,5250,5625,1875,9000,6375,2860
Hearty Potato Curry,2010-01-10,65,88,164,98,8700,5800,4060,4350,1450,6960,4930,3008
Fruity Veggie Smoothie,2010-01-10,64,93,187,112,9300,6200,4340,4650,1550,7440,5270,2967
Spicy Veggie Stir-Fry,2010-01-10,51,65,189,113,6750,4500,3150,3375,1125,5400,3825,2475
Tropical Fruit Salad,2010-01-11,71,81,135,81,12300,8200,5740,6150,2050,9840,6970,2673
Garden Vegetable Medley,2010-01-11,65,76,130,78,11550,7700,5390,5775,1925,9240,6545,2574
Hearty Potato Curry,2010-01-11,48,55,164,98,8850,5900,4130,4425,1475,7080,5015,2582
Fruity Veggie Smoothie,2010-01-11,52,58,187,112,8850,5900,4130,4425,1475,7080,5015,3116
Spicy Veggie Stir-Fry,2010-01-11,43,50,189,113,7500,5000,3500,3750,1250,6000,4250,2477
Tropical Fruit Salad,2010-01-12,47,57,135,81,8550,5700,3990,4275,1425,6840,4845,1863
Garden Vegetable Medley,2010-01-12,57,66,130,78,9900,6600,4620,4950,1650,7920,5610,2522
Hearty Potato Curry,2010-01-12,64,67,164,98,10200,6800,4760,5100,1700,8160,5780,3340
Fruity Veggie Smoothie,2010-01-12,43,62,187,112,9000,6000,4200,4500,1500,7200,5100,2817
Spicy Veggie Stir-Fry,2010-01-12,42,55,189,113,7950,5300,3710,3975,1325,6360,4505,2705
Tropical Fruit Salad,2010-01-13,56,57,135,81,8850,5900,4130,4425,1475,7080,5015,2511
Garden Vegetable Medley,2010-01-13,68,76,130,78,11400,7600,5320,5700,1900,9120,6460,2782
Hearty Potato Curry,2010-01-13,38,51,164,98,7350,4900,3430,3675,1225,5880,4165,1922
Fruity Veggie Smoothie,2010-01-13,66,71,187,112,11250,7500,5250,5625,1875,9000,6375,3568
Spicy Veggie Stir-Fry,2010-01-13,45,61,189,113,9300,6200,4340,4650,1550,7440,5270,2822
Tropical Fruit Salad,2010-01-14,58,66,135,81,10050,6700,4690,5025,1675,8040,5695,2673
Garden Vegetable Medley,2010-01-14,53,60,130,78,9000,6000,4200,4500,1500,7200,5100,2340
Hearty Potato Curry,2010-01-14,59,73,164,98,10800,7200,5040,5400,1800,8640,6120,3276
Fruity Veggie Smoothie,2010-01-14,65,80,187,112,12000,8000,5600,6000,2000,9600,6800,3569
Spicy Veggie Stir-Fry,2010-01-14,48,64,189,113,9300,6200,4340,4650,1550,7440,5270,3011
Tropical Fruit Salad,2010-01-15,61,71,135,81,10800,7200,5040,5400,1800,8640,6120,2268
Garden Vegetable Medley,2010-01-15,40,49,130,78,7350,4900,3430,3675,1225,5880,4165,1638
Hearty Potato Curry,2010-01-15,48,59,164,98,8700,5800,4060,4350,1450,6960,4930,2844
Fruity Veggie Smoothie,2010-01-15,50,59,187,112,9150,6100,4270,4575,1525,7320,5185,2892
Spicy Veggie Stir-Fry,2010-01-15,39,51,189,113,7500,5000,3500,3750,1250,6000,4250,2288
Tropical Fruit Salad,2010-01-16,78,96,135,81,10050,6700,4690,5025,1675,8040,5695,2808
Garden Vegetable Medley,2010-01-16,64,82,130,78,8550,5700,3990,4275,1425,6840,4845,2184
Hearty Potato Curry,2010-01-16,70,100,164,98,10650,7100,4970,5325,1775,8520,6035,3538
Fruity Veggie Smoothie,2010-01-16,55,78,187,112,8400,5600,3920,4200,1400,6720,4760,3078
Spicy Veggie Stir-Fry,2010-01-16,57,84,189,113,8700,5800,4060,4350,1450,6960,4930,3274
Tropical Fruit Salad,2010-01-17,61,72,135,81,7200,4800,3360,3600,1200,5760,4080,2052
Garden Vegetable Medley,2010-01-17,53,73,130,78,7950,5300,3710,3975,1325,6360,4505,2236
Hearty Potato Curry,2010-01-17,66,96,164,98,9600,6400,4480,4800,1600,7680,5440,2912
Fruity Veggie Smoothie,2010-01-17,56,78,187,112,8100,5400,3780,4050,1350,6480,4590,2367
Spicy Veggie Stir-Fry,2010-01-17,61,87,189,113,9000,6000,4200,4500,1500,7200,5100,3615
Tropical Fruit Salad,2010-01-18,49,63,135,81,9450,6300,4410,4725,1575,7560,5355,2322
Garden Vegetable Medley,2010-01-18,43,55,130,78,8400,5600,3920,4200,1400,6720,4760,1742
Hearty Potato Curry,2010-01-18,56,71,164,98,10350,6900,4830,5175,1725,8280,5865,3242
Fruity Veggie Smoothie,2010-01-18,41,51,187,112,7800,5200,3640,3900,1300,6240,4420,2591
Spicy Veggie Stir-Fry,2010-01-18,47,61,189,113,8850,5900,4130,4425,1475,7080,5015,3350
Tropical Fruit Salad,2010-01-19,38,47,135,81,7350,4900,3430,3675,1225,5880,4165,1566
Garden Vegetable Medley,2010-01-19,53,63,130,78,9300,6200,4340,4650,1550,7440,5270,2184
Hearty Potato Curry,2010-01-19,63,79,164,98,12000,8000,5600,6000,2000,9600,6800,3640
Fruity Veggie Smoothie,2010-01-19,41,52,187,112,7800,5200,3640,3900,1300,6240,4420,2591
Spicy Veggie Stir-Fry,2010-01-19,54,66,189,113,10050,6700,4690,5025,1675,8040,5695,3202
Tropical Fruit Salad,2010-01-20,69,72,135,81,11550,7700,5390,5775,1925,9240,6545,3213
Garden Vegetable Medley,2010-01-20,38,48,130,78,7050,4700,3290,3525,1175,5640,3995,1664
Hearty Potato Curry,2010-01-20,45,53,164,98,7800,5200,3640,3900,1300,6240,4420,2448
Fruity Veggie Smoothie,2010-01-20,36,46,187,112,6750,4500,3150,3375,1125,5400,3825,2627
Spicy Veggie Stir-Fry,2010-01-20,38,44,189,113,6750,4500,3150,3375,1125,5400,3825,2664
Tropical Fruit Salad,2010-01-21,70,78,135,81,11400,7600,5320,5700,1900,9120,6460,3159
Garden Vegetable Medley,2010-01-21,64,75,130,78,11550,7700,5390,5775,1925,9240,6545,2704
Hearty Potato Curry,2010-01-21,41,47,164,98,7200,4800,3360,3600,1200,5760,4080,2512
Fruity Veggie Smoothie,2010-01-21,49,56,187,112,8700,5800,4060,4350,1450,6960,4930,3415
Spicy Veggie Stir-Fry,2010-01-21,48,54,189,113,8550,5700,3990,4275,1425,6840,4845,2820
Tropical Fruit Salad,2010-01-22,56,66,135,81,9600,6400,4480,4800,1600,7680,5440,2376
Garden Vegetable Medley,2010-01-22,46,51,130,78,8250,5500,3850,4125,1375,6600,4675,1820
Hearty Potato Curry,2010-01-22,64,76,164,98,11250,7500,5250,5625,1875,9000,6375,3474
Fruity Veggie Smoothie,2010-01-22,49,66,187,112,9450,6300,4410,4725,1575,7560,5355,3229
Spicy Veggie Stir-Fry,2010-01-22,58,71,189,113,10200,6800,4760,5100,1700,8160,5780,3278
Tropical Fruit Salad,2010-01-23,53,81,135,81,8100,5400,3780,4050,1350,6480,4590,1701
Garden Vegetable Medley,2010-01-23,86,109,130,78,11700,7800,5460,5850,1950,9360,6630,2886
Hearty Potato Curry,2010-01-23,82,110,164,98,11550,7700,5390,5775,1925,9240,6545,3278
Fruity Veggie Smoothie,2010-01-23,70,98,187,112,9900,6600,4620,4950,1650,7920,5610,3828
Spicy Veggie Stir-Fry,2010-01-23,53,76,189,113,7800,5200,3640,3900,1300,6240,4420,2440
Tropical Fruit Salad,2010-01-24,68,93,135,81,9750,6500,4550,4875,1625,7800,5525,2565
Garden Vegetable Medley,2010-01-24,82,120,130,78,11550,7700,5390,5775,1925,9240,6545,2834
Hearty Potato Curry,2010-01-24,63,91,164,98,9150,6100,4270,4575,1525,7320,5185,2878
Fruity Veggie Smoothie,2010-01-24,59,91,187,112,8700,5800,4060,4350,1450,6960,4930,3041
Spicy Veggie Stir-Fry,2010-01-24,67,101,189,113,10350,6900,4830,5175,1725,8280,5865,3543
Tropical Fruit Salad,2010-01-25,51,61,135,81,9150,6100,4270,4575,1525,7320,5185,2079
Garden Vegetable Medley,2010-01-25,66,74,130,78,11250,7500,5250,5625,1875,9000,6375,2730
Hearty Potato Curry,2010-01-25,46,54,164,98,8100,5400,3780,4050,1350,6480,4590,2416
Fruity Veggie Smoothie,2010-01-25,47,56,187,112,8400,5600,3920,4200,1400,6720,4760,3078
Spicy Veggie Stir-Fry,2010-01-25,64,80,189,113,11850,7900,5530,5925,1975,9480,6715,3547
Tropical Fruit Salad,2010-01-26,56,73,135,81,7050,4700,3290,3525,1175,5640,3995,1998
Garden Vegetable Medley,2010-01-26,60,90,130,78,9300,6200,4340,4650,1550,7440,5270,2184
Hearty Potato Curry,2010-01-26,46,67,164,98,7200,4800,3360,3600,1200,5760,4080,1856
Fruity Veggie Smoothie,2010-01-26,71,106,187,112,10500,7000,4900,5250,1750,8400,5950,3193
Spicy Veggie Stir-Fry,2010-01-26,73,95,189,113,9600,6400,4480,4800,1600,7680,5440,3919
Tropical Fruit Salad,2010-01-27,41,47,135,81,6900,4600,3220,3450,1150,5520,3910,1944
Garden Vegetable Medley,2010-01-27,64,70,130,78,10950,7300,5110,5475,1825,8760,6205,2756
Hearty Potato Curry,2010-01-27,59,68,164,98,10350,6900,4830,5175,1725,8280,5865,3242
Fruity Veggie Smoothie,2010-01-27,44,52,187,112,7650,5100,3570,3825,1275,6120,4335,2890
Spicy Veggie Stir-Fry,2010-01-27,41,47,189,113,7200,4800,3360,3600,1200,5760,4080,2136
Tropical Fruit Salad,2010-01-28,49,59,135,81,8550,5700,3990,4275,1425,6840,4845,1998
Garden Vegetable Medley,2010-01-28,47,58,130,78,8550,5700,3990,4275,1425,6840,4845,2184
Hearty Potato Curry,2010-01-28,41,48,164,98,7350,4900,3430,3675,1225,5880,4165,2578
Fruity Veggie Smoothie,2010-01-28,65,86,187,112,12600,8400,5880,6300,2100,10080,7140,3682
Spicy Veggie Stir-Fry,2010-01-28,49,54,189,113,7950,5300,3710,3975,1325,6360,4505,2894
Tropical Fruit Salad,2010-01-29,59,73,135,81,11100,7400,5180,5550,1850,8880,6290,2511
Garden Vegetable Medley,2010-01-29,68,80,130,78,12150,8100,5670,6075,2025,9720,6885,2522
Hearty Potato Curry,2010-01-29,44,49,164,98,7500,5000,3500,3750,1250,6000,4250,2480
Fruity Veggie Smoothie,2010-01-29,51,53,187,112,8250,5500,3850,4125,1375,6600,4675,3003
Spicy Veggie Stir-Fry,2010-01-29,53,61,189,113,9450,6300,4410,4725,1575,7560,5355,3465
Tropical Fruit Salad,2010-01-30,66,84,135,81,9150,6100,4270,4575,1525,7320,5185,2619
Garden Vegetable Medley,2010-01-30,55,71,130,78,7500,5000,3500,3750,1250,6000,4250,2080
Hearty Potato Curry,2010-01-30,82,113,164,98,12000,8000,5600,6000,2000,9600,6800,3640
Fruity Veggie Smoothie,2010-01-30,63,78,187,112,8100,5400,3780,4050,1350,6480,4590,3115
Spicy Veggie Stir-Fry,2010-01-30,49,72,189,113,7500,5000,3500,3750,1250,6000,4250,2666
Tropical Fruit Salad,2010-01-31,70,91,135,81,9750,6500,4550,4875,1625,7800,5525,2430
Garden Vegetable Medley,2010-01-31,52,76,130,78,7650,5100,3570,3825,1275,6120,4335,2132
Hearty Potato Curry,2010-01-31,75,96,164,98,9750,6500,4550,4875,1625,7800,5525,2650
Fruity Veggie Smoothie,2010-01-31,60,89,187,112,9000,6000,4200,4500,1500,7200,5100,3565
Spicy Veggie Stir-Fry,2010-01-31,56,73,189,113,8100,5400,3780,4050,1350,6480,4590,2970
Tropical Fruit Salad,2010-02-01,53,72,136,81,10050,6700,4690,5025,1675,8040,5695,2461
Garden Vegetable Medley,2010-02-01,59,73,131,78,11100,7400,5180,5550,1850,8880,6290,2612
Hearty Potato Curry,2010-02-01,56,69,165,99,10050,6700,4690,5025,1675,8040,5695,2607
Fruity Veggie Smoothie,2010-02-01,47,52,188,112,7800,5200,3640,3900,1300,6240,4420,3200
Spicy Veggie Stir-Fry,2010-02-01,52,56,191,114,8400,5600,3920,4200,1400,6720,4760,2975
Tropical Fruit Salad,2010-02-02,62,74,136,81,10950,7300,5110,5475,1825,8760,6205,2655
Garden Vegetable Medley,2010-02-02,49,54,131,78,8700,5800,4060,4350,1450,6960,4930,2026
Hearty Potato Curry,2010-02-02,64,82,165,99,11850,7900,5530,5925,1975,9480,6715,3234
Fruity Veggie Smoothie,2010-02-02,58,63,188,112,9600,6400,4480,4800,1600,7680,5440,3736
Spicy Veggie Stir-Fry,2010-02-02,41,53,191,114,7950,5300,3710,3975,1325,6360,4505,2553
Tropical Fruit Salad,2010-02-03,58,70,136,81,10350,6900,4830,5175,1725,8280,5865,2571
Garden Vegetable Medley,2010-02-03,39,50,131,78,7500,5000,3500,3750,1250,6000,4250,1733
Hearty Potato Curry,2010-02-03,48,55,165,99,8100,5400,3780,4050,1350,6480,4590,2574
Fruity Veggie Smoothie,2010-02-03,39,48,188,112,7200,4800,3360,3600,1200,5760,4080,2332
Spicy Veggie Stir-Fry,2010-02-03,50,58,191,114,9000,6000,4200,4500,1500,7200,5100,3092
Tropical Fruit Salad,2010-02-04,64,73,136,81,10950,7300,5110,5475,1825,8760,6205,2927
Garden Vegetable Medley,2010-02-04,38,50,131,78,7500,5000,3500,3750,1250,6000,4250,1602
Hearty Potato Curry,2010-02-04,50,63,165,99,9150,6100,4270,4575,1525,7320,5185,2541
Fruity Veggie Smoothie,2010-02-04,51,57,188,112,8550,5700,3990,4275,1425,6840,4845,3204
Spicy Veggie Stir-Fry,2010-02-04,52,60,191,114,9000,6000,4200,4500,1500,7200,5100,3283
Tropical Fruit Salad,2010-02-05,62,73,136,81,11100,7400,5180,5550,1850,8880,6290,3118
Garden Vegetable Medley,2010-02-05,69,67,131,78,11100,7400,5180,5550,1850,8880,6290,2874
Hearty Potato Curry,2010-02-05,40,50,165,99,7650,5100,3570,3825,1275,6120,4335,2046
Fruity Veggie Smoothie,2010-02-05,50,62,188,112,9900,6600,4620,4950,1650,7920,5610,2948
Spicy Veggie Stir-Fry,2010-02-05,53,68,191,114,10050,6700,4690,5025,1675,8040,5695,3440
Tropical Fruit Salad,2010-02-06,62,85,136,81,9300,6200,4340,4650,1550,7440,5270,2322
Garden Vegetable Medley,2010-02-06,55,67,131,78,7050,4700,3290,3525,1175,5640,3995,1705
Hearty Potato Curry,2010-02-06,50,74,165,99,7350,4900,3430,3675,1225,5880,4165,2079
Fruity Veggie Smoothie,2010-02-06,77,99,188,112,10050,6700,4690,5025,1675,8040,5695,3776
Spicy Veggie Stir-Fry,2010-02-06,51,81,191,114,8250,5500,3850,4125,1375,6600,4675,2707
Tropical Fruit Salad,2010-02-07,81,103,136,81,10650,7100,4970,5325,1775,8520,6035,2817
Garden Vegetable Medley,2010-02-07,88,105,131,78,11100,7400,5180,5550,1850,8880,6290,2612
Hearty Potato Curry,2010-02-07,69,102,165,99,10650,7100,4970,5325,1775,8520,6035,3696
Fruity Veggie Smoothie,2010-02-07,88,107,188,112,11100,7400,5180,5550,1850,8880,6290,4308
Spicy Veggie Stir-Fry,2010-02-07,73,105,191,114,10800,7200,5040,5400,1800,8640,6120,3252
Tropical Fruit Salad,2010-02-08,56,68,136,81,10800,7200,5040,5400,1800,8640,6120,2600
Garden Vegetable Medley,2010-02-08,64,75,131,78,11250,7500,5250,5625,1875,9000,6375,2796
Hearty Potato Curry,2010-02-08,54,57,165,99,8850,5900,4130,4425,1475,7080,5015,2904
Fruity Veggie Smoothie,2010-02-08,47,54,188,112,8100,5400,3780,4050,1350,6480,4590,3164
Spicy Veggie Stir-Fry,2010-02-08,46,52,191,114,7650,5100,3570,3825,1275,6120,4335,2972
Tropical Fruit Salad,2010-02-09,44,51,136,81,7500,5000,3500,3750,1250,6000,4250,2206
Garden Vegetable Medley,2010-02-09,60,72,131,78,10350,6900,4830,5175,1725,8280,5865,2609
Hearty Potato Curry,2010-02-09,56,65,165,99,9600,6400,4480,4800,1600,7680,5440,3069
Fruity Veggie Smoothie,2010-02-09,46,48,188,112,7200,4800,3360,3600,1200,5760,4080,2896
Spicy Veggie Stir-Fry,2010-02-09,57,66,191,114,10500,7000,4900,5250,1750,8400,5950,3862
Tropical Fruit Salad,2010-02-10,55,63,136,81,9600,6400,4480,4800,1600,7680,5440,2160
Garden Vegetable Medley,2010-02-10,44,45,131,78,6900,4600,3220,3450,1150,5520,3910,1914
Hearty Potato Curry,2010-02-10,43,48,165,99,7350,4900,3430,3675,1225,5880,4165,2244
Fruity Veggie Smoothie,2010-02-10,58,67,188,112,9900,6600,4620,4950,1650,7920,5610,3512
Spicy Veggie Stir-Fry,2010-02-10,41,43,191,114,6750,4500,3150,3375,1125,5400,3825,2701
Tropical Fruit Salad,2010-02-11,62,74,136,81,10800,7200,5040,5400,1800,8640,6120,2464
Garden Vegetable Medley,2010-02-11,54,59,131,78,8700,5800,4060,4350,1450,6960,4930,2157
Hearty Potato Curry,2010-02-11,41,46,165,99,7200,4800,3360,3600,1200,5760,4080,1848
Fruity Veggie Smoothie,2010-02-11,66,75,188,112,11250,7500,5250,5625,1875,9000,6375,3820
Spicy Veggie Stir-Fry,2010-02-11,65,73,191,114,11550,7700,5390,5775,1925,9240,6545,4401
Tropical Fruit Salad,2010-02-12,63,85,136,81,8550,5700,3990,4275,1425,6840,4845,2183
Garden Vegetable Medley,2010-02-12,54,79,131,78,8700,5800,4060,4350,1450,6960,4930,2026
Hearty Potato Curry,2010-02-12,74,105,165,99,10800,7200,5040,5400,1800,8640,6120,3102
Fruity Veggie Smoothie,2010-02-12,72,94,188,112,9750,6500,4550,4875,1625,7800,5525,3624
Spicy Veggie Stir-Fry,2010-02-12,48,69,191,114,7050,4700,3290,3525,1175,5640,3995,2664
Tropical Fruit Salad,2010-02-13,78,108,136,81,11100,7400,5180,5550,1850,8880,6290,2438
Garden Vegetable Medley,2010-02-13,80,112,131,78,10800,7200,5040,5400,1800,8640,6120,3030
Hearty Potato Curry,2010-02-13,66,83,165,99,8550,5700,3990,4275,1425,6840,4845,2937
Fruity Veggie Smoothie,2010-02-13,79,102,188,112,11100,7400,5180,5550,1850,8880,6290,3556
Spicy Veggie Stir-Fry,2010-02-13,49,69,191,114,6750,4500,3150,3375,1125,5400,3825,2701
Tropical Fruit Salad,2010-02-14,64,93,136,81,9600,6400,4480,4800,1600,7680,5440,2160
Garden Vegetable Medley,2010-02-14,86,112,131,78,11400,7600,5320,5700,1900,9120,6460,2980
Hearty Potato Curry,2010-02-14,76,102,165,99,10350,6900,4830,5175,1725,8280,5865,3069
Fruity Veggie Smoothie,2010-02-14,70,101,188,112,10500,7000,4900,5250,1750,8400,5950,3816
Spicy Veggie Stir-Fry,2010-02-14,56,69,191,114,7350,4900,3430,3675,1225,5880,4165,2627
Tropical Fruit Salad,2010-02-15,54,60,136,81,9300,6200,4340,4650,1550,7440,5270,2050
Garden Vegetable Medley,2010-02-15,52,60,131,78,9300,6200,4340,4650,1550,7440,5270,2238
Hearty Potato Curry,2010-02-15,42,50,165,99,7050,4700,3290,3525,1175,5640,3995,2442
Fruity Veggie Smoothie,2010-02-15,65,75,188,112,11100,7400,5180,5550,1850,8880,6290,4120
Spicy Veggie Stir-Fry,2010-02-15,40,43,191,114,6600,4400,3080,3300,1100,5280,3740,2624
Tropical Fruit Salad,2010-02-16,50,65,136,81,10050,6700,4690,5025,1675,8040,5695,2325
Garden Vegetable Medley,2010-02-16,69,81,131,78,11550,7700,5390,5775,1925,9240,6545,2771
Hearty Potato Curry,2010-02-16,61,67,165,99,10500,7000,4900,5250,1750,8400,5950,3135
Fruity Veggie Smoothie,2010-02-16,56,72,188,112,10650,7100,4970,5325,1775,8520,6035,3892
Spicy Veggie Stir-Fry,2010-02-16,46,53,191,114,7650,5100,3570,3825,1275,6120,4335,2972
Tropical Fruit Salad,2010-02-17,50,58,136,81,9000,6000,4200,4500,1500,7200,5100,2348
Garden Vegetable Medley,2010-02-17,47,56,131,78,7950,5300,3710,3975,1325,6360,4505,2023
Hearty Potato Curry,2010-02-17,59,70,165,99,10350,6900,4830,5175,1725,8280,5865,2904
Fruity Veggie Smoothie,2010-02-17,62,73,188,112,11100,7400,5180,5550,1850,8880,6290,4496
Spicy Veggie Stir-Fry,2010-02-17,47,52,191,114,8400,5600,3920,4200,1400,6720,4760,2784
Tropical Fruit Salad,2010-02-18,44,49,136,81,7200,4800,3360,3600,1200,5760,4080,1824
Garden Vegetable Medley,2010-02-18,48,55,131,78,7800,5200,3640,3900,1300,6240,4420,2232
Hearty Potato Curry,2010-02-18,55,62,165,99,9150,6100,4270,4575,1525,7320,5185,2871
Fruity Veggie Smoothie,2010-02-18,53,62,188,112,9450,6300,4410,4725,1575,7560,5355,2908
Spicy Veggie Stir-Fry,2010-02-18,46,53,191,114,7950,5300,3710,3975,1325,6360,4505,3126
Tropical Fruit Salad,2010-02-19,61,71,136,81,10950,7300,5110,5475,1825,8760,6205,2655
Garden Vegetable Medley,2010-02-19,46,53,131,78,7800,5200,3640,3900,1300,6240,4420,2101
Hearty Potato Curry,2010-02-19,41,45,165,99,6750,4500,3150,3375,1125,5400,3825,2145
Fruity Veggie Smoothie,2010-02-19,67,84,188,112,12300,8200,5740,6150,2050,9840,6970,3976
Spicy Veggie Stir-Fry,2010-02-19,43,50,191,114,7650,5100,3570,3825,1275,6120,4335,2399
Tropical Fruit Salad,2010-02-20,72,101,136,81,10500,7000,4900,5250,1750,8400,5950,2490
Garden Vegetable Medley,2010-02-20,70,96,131,78,10050,6700,4690,5025,1675,8040,5695,2110
Hearty Potato Curry,2010-02-20,47,67,165,99,7200,4800,3360,3600,1200,5760,4080,2013
Fruity Veggie Smoothie,2010-02-20,77,109,188,112,11250,7500,5250,5625,1875,9000,6375,3444
Spicy Veggie Stir-Fry,2010-02-20,76,111,191,114,10800,7200,5040,5400,1800,8640,6120,3443
Tropical Fruit Salad,2010-02-21,51,76,136,81,7800,5200,3640,3900,1300,6240,4420,1908
Garden Vegetable Medley,2010-02-21,78,110,131,78,10950,7300,5110,5475,1825,8760,6205,2297
Hearty Potato Curry,2010-02-21,70,101,165,99,10950,7300,5110,5475,1825,8760,6205,3003
Fruity Veggie Smoothie,2010-02-21,60,84,188,112,8550,5700,3990,4275,1425,6840,4845,3016
Spicy Veggie Stir-Fry,2010-02-21,67,99,191,114,9900,6600,4620,4950,1650,7920,5610,3172
Tropical Fruit Salad,2010-02-22,60,68,136,81,10500,7000,4900,5250,1750,8400,5950,2626
Garden Vegetable Medley,2010-02-22,49,59,131,78,9000,6000,4200,4500,1500,7200,5100,2001
Hearty Potato Curry,2010-02-22,67,78,165,99,11400,7600,5320,5700,1900,9120,6460,3531
Fruity Veggie Smoothie,2010-02-22,62,70,188,112,10800,7200,5040,5400,1800,8640,6120,3592
Spicy Veggie Stir-Fry,2010-02-22,40,46,191,114,7050,4700,3290,3525,1175,5640,3995,2282
Tropical Fruit Salad,2010-02-23,55,68,136,81,10200,6800,4760,5100,1700,8160,5780,2652
