item_name,date,sale_units,stock_level,price,cost,stock_apple,stock_banana,stock_orange,stock_cucumber,stock_okra,stock_potato,stock_tomato,profit
Fruity Veggie Smoothie,2010-01-07,66,75,187,112,11250,7500,5250,5625,1875,9000,6375,3942
Spicy Veggie Stir-Fry,2010-01-07,61,70,189,113,10500,7000,4900,5250,1750,8400,5950,3619
Tropical Fruit Salad,2010-01-08,43,49,135,81,7350,4900,3430,3675,1225,5880,4165,1836
Garden Vegetable Medley,2010-01-08,65,73,130,78,10950,7300,5110,5475,1825,8760,6205,2756
Hearty Potato Curry,2010-01-08,67,75,164,98,11250,7500,5250,5625,1875,9000,6375,3638
Fruity Veggie Smoothie,2010-01-08,43,47,187,112,7050,4700,3290,3525,1175,5640,3995,2777
Spicy Veggie Stir-Fry,2010-01-08,52,62,189,113,9300,6200,4340,4650,1550,7440,5270,2822
Tropical Fruit Salad,2010-01-09,62,71,135,81,10650,7100,4970,5325,1775,8520,6035,2619
Garden Vegetable Medley,2010-01-09,41,49,130,78,7350,4900,3430,3675,1225,5880,4165,1508
Hearty Potato Curry,2010-01-09,53,63,164,98,9450,6300,4410,4725,1575,7560,5355,2518
Fruity Veggie Smoothie,2010-01-09,61,70,187,112,10500,7000,4900,5250,1750,8400,5950,3567
Spicy Veggie Stir-Fry,2010-01-09,46,54,189,113,8100,5400,3780,4050,1350,6480,4590,2592
Tropical Fruit Salad,2010-01-10,60,67,135,81,10050,6700,4690,5025,1675,8040,5695,2673
Garden Vegetable Medley,2010-01-10,67,75,130,78,11250,7500,5250,5625,1875,9000,6375,2860
Hearty Potato Curry,2010-01-10,53,58,164,98,8700,5800,4060,4350,1450,6960,4930,3008
Fruity Veggie Smoothie,2010-01-10,53,62,187,112,9300,6200,4340,4650,1550,7440,5270,2967
Spicy Veggie Stir-Fry,2010-01-10,40,45,189,113,6750,4500,3150,3375,1125,5400,3825,2475
Tropical Fruit Salad,2010-01-11,69,82,135,81,12300,8200,5740,6150,2050,9840,6970,2673
Garden Vegetable Medley,2010-01-11,66,77,130,78,11550,7700,5390,5775,1925,9240,6545,2574
Hearty Potato Curry,2010-01-11,51,59,164,98,8850,5900,4130,4425,1475,7080,5015,2582
Fruity Veggie Smoothie,2010-01-11,52,59,187,112,8850,5900,4130,4425,1475,7080,5015,3116
Spicy Veggie Stir-Fry,2010-01-11,43,50,189,113,7500,5000,3500,3750,1250,6000,4250,2477
Tropical Fruit Salad,2010-01-12,48,57,135,81,8550,5700,3990,4275,1425,6840,4845,1863
Garden Vegetable Medley,2010-01-12,59,66,130,78,9900,6600,4620,4950,1650,7920,5610,2522
Hearty Potato Curry,2010-01-12,61,68,164,98,10200,6800,4760,5100,1700,8160,5780,3340
Fruity Veggie Smoothie,2010-01-12,51,60,187,112,9000,6000,4200,4500,1500,7200,5100,2817
Spicy Veggie Stir-Fry,2010-01-12,46,53,189,113,7950,5300,3710,3975,1325,6360,4505,2705
Tropical Fruit Salad,2010-01-13,54,59,135,81,8850,5900,4130,4425,1475,7080,5015,2511
Garden Vegetable Medley,2010-01-13,67,76,130,78,11400,7600,5320,5700,1900,9120,6460,2782
Hearty Potato Curry,2010-01-13,41,49,164,98,7350,4900,3430,3675,1225,5880,4165,1922
Fruity Veggie Smoothie,2010-01-13,64,75,187,112,11250,7500,5250,5625,1875,9000,6375,3568
Spicy Veggie Stir-Fry,2010-01-13,52,62,189,113,9300,6200,4340,4650,1550,7440,5270,2822
Tropical Fruit Salad,2010-01-14,60,67,135,81,10050,6700,4690,5025,1675,8040,5695,2673
Garden Vegetable Medley,2010-01-14,54,60,130,78,9000,6000,4200,4500,1500,7200,5100,2340
Hearty Potato Curry,2010-01-14,63,72,164,98,10800,7200,5040,5400,1800,8640,6120,3276
Fruity Veggie Smoothie,2010-01-14,67,80,187,112,12000,8000,5600,6000,2000,9600,6800,3569
Spicy Veggie Stir-Fry,2010-01-14,53,62,189,113,9300,6200,4340,4650,1550,7440,5270,3011
Tropical Fruit Salad,2010-01-15,60,72,135,81,10800,7200,5040,5400,1800,8640,6120,2268
Garden Vegetable Medley,2010-01-15,42,49,130,78,7350,4900,3430,3675,1225,5880,4165,1638
Hearty Potato Curry,2010-01-15,52,58,164,98,8700,5800,4060,4350,1450,6960,4930,2844
Fruity Veggie Smoothie,2010-01-15,52,61,187,112,9150,6100,4270,4575,1525,7320,5185,2892
Spicy Veggie Stir-Fry,2010-01-15,42,50,189,113,7500,5000,3500,3750,1250,6000,4250,2288
Tropical Fruit Salad,2010-01-16,61,67,135,81,10050,6700,4690,5025,1675,8040,5695,2808
Garden Vegetable Medley,2010-01-16,51,57,130,78,8550,5700,3990,4275,1425,6840,4845,2184
Hearty Potato Curry,2010-01-16,64,71,164,98,10650,7100,4970,5325,1775,8520,6035,3538
Fruity Veggie Smoothie,2010-01-16,50,56,187,112,8400,5600,3920,4200,1400,6720,4760,3078
Spicy Veggie Stir-Fry,2010-01-16,52,58,189,113,8700,5800,4060,4350,1450,6960,4930,3274
Tropical Fruit Salad,2010-01-17,44,48,135,81,7200,4800,3360,3600,1200,5760,4080,2052
Garden Vegetable Medley,2010-01-17,49,53,130,78,7950,5300,3710,3975,1325,6360,4505,2236
Hearty Potato Curry,2010-01-17,56,64,164,98,9600,6400,4480,4800,1600,7680,5440,2912
Fruity Veggie Smoothie,2010-01-17,45,54,187,112,8100,5400,3780,4050,1350,6480,4590,2367
Spicy Veggie Stir-Fry,2010-01-17,55,60,189,113,9000,6000,4200,4500,1500,7200,5100,3615
Tropical Fruit Salad,2010-01-18,55,63,135,81,9450,6300,4410,4725,1575,7560,5355,2322
Garden Vegetable Medley,2010-01-18,47,56,130,78,8400,5600,3920,4200,1400,6720,4760,1742
Hearty Potato Curry,2010-01-18,61,69,164,98,10350,6900,4830,5175,1725,8280,5865,3242
Fruity Veggie Smoothie,2010-01-18,45,52,187,112,7800,5200,3640,3900,1300,6240,4420,2591
Spicy Veggie Stir-Fry,2010-01-18,53,59,189,113,8850,5900,4130,4425,1475,7080,5015,3350
Tropical Fruit Salad,2010-01-19,41,49,135,81,7350,4900,3430,3675,1225,5880,4165,1566
Garden Vegetable Medley,2010-01-19,54,62,130,78,9300,6200,4340,4650,1550,7440,5270,2184
Hearty Potato Curry,2010-01-19,70,80,164,98,12000,8000,5600,6000,2000,9600,6800,3640
Fruity Veggie Smoothie,2010-01-19,45,52,187,112,7800,5200,3640,3900,1300,6240,4420,2591
Spicy Veggie Stir-Fry,2010-01-19,57,67,189,113,10050,6700,4690,5025,1675,8040,5695,3202
Tropical Fruit Salad,2010-01-20,70,77,135,81,11550,7700,5390,5775,1925,9240,6545,3213
Garden Vegetable Medley,2010-01-20,41,47,130,78,7050,4700,3290,3525,1175,5640,3995,1664
Hearty Potato Curry,2010-01-20,46,52,164,98,7800,5200,3640,3900,1300,6240,4420,2448
Fruity Veggie Smoothie,2010-01-20,41,45,187,112,6750,4500,3150,3375,1125,5400,3825,2627
Spicy Veggie Stir-Fry,2010-01-20,41,45,189,113,6750,4500,3150,3375,1125,5400,3825,2664
Tropical Fruit Salad,2010-01-21,69,76,135,81,11400,7600,5320,5700,1900,9120,6460,3159
Garden Vegetable Medley,2010-01-21,67,77,130,78,11550,7700,5390,5775,1925,9240,6545,2704
Hearty Potato Curry,2010-01-21,44,48,164,98,7200,4800,3360,3600,1200,5760,4080,2512
Fruity Veggie Smoothie,2010-01-21,53,58,187,112,8700,5800,4060,4350,1450,6960,4930,3415
Spicy Veggie Stir-Fry,2010-01-21,49,57,189,113,8550,5700,3990,4275,1425,6840,4845,2820
Tropical Fruit Salad,2010-01-22,56,64,135,81,9600,6400,4480,4800,1600,7680,5440,2376
Garden Vegetable Medley,2010-01-22,47,55,130,78,8250,5500,3850,4125,1375,6600,4675,1820
Hearty Potato Curry,2010-01-22,66,75,164,98,11250,7500,5250,5625,1875,9000,6375,3474
Fruity Veggie Smoothie,2010-01-22,55,63,187,112,9450,6300,4410,4725,1575,7560,5355,3229
Spicy Veggie Stir-Fry,2010-01-22,58,68,189,113,10200,6800,4760,5100,1700,8160,5780,3278
Tropical Fruit Salad,2010-01-23,45,54,135,81,8100,5400,3780,4050,1350,6480,4590,1701
Garden Vegetable Medley,2010-01-23,69,78,130,78,11700,7800,5460,5850,1950,9360,6630,2886
Hearty Potato Curry,2010-01-23,66,77,164,98,11550,7700,5390,5775,1925,9240,6545,3278
Fruity Veggie Smoothie,2010-01-23,60,66,187,112,9900,6600,4620,4950,1650,7920,5610,3828
Spicy Veggie Stir-Fry,2010-01-23,44,52,189,113,7800,5200,3640,3900,1300,6240,4420,2440
Tropical Fruit Salad,2010-01-24,58,65,135,81,9750,6500,4550,4875,1625,7800,5525,2565
Garden Vegetable Medley,2010-01-24,68,77,130,78,11550,7700,5390,5775,1925,9240,6545,2834
Hearty Potato Curry,2010-01-24,54,61,164,98,9150,6100,4270,4575,1525,7320,5185,2878
Fruity Veggie Smoothie,2010-01-24,51,58,187,112,8700,5800,4060,4350,1450,6960,4930,3041
Spicy Veggie Stir-Fry,2010-01-24,60,69,189,113,10350,6900,4830,5175,1725,8280,5865,3543
Tropical Fruit Salad,2010-01-25,52,61,135,81,9150,6100,4270,4575,1525,7320,5185,2079
Garden Vegetable Medley,2010-01-25,66,75,130,78,11250,7500,5250,5625,1875,9000,6375,2730
Hearty Potato Curry,2010-01-25,47,54,164,98,8100,5400,3780,4050,1350,6480,4590,2416
Fruity Veggie Smoothie,2010-01-25,50,56,187,112,8400,5600,3920,4200,1400,6720,4760,3078
Spicy Veggie Stir-Fry,2010-01-25,66,79,189,113,11850,7900,5530,5925,1975,9480,6715,3547
Tropical Fruit Salad,2010-01-26,43,47,135,81,7050,4700,3290,3525,1175,5640,3995,1998
Garden Vegetable Medley,2010-01-26,54,62,130,78,9300,6200,4340,4650,1550,7440,5270,2184
Hearty Potato Curry,2010-01-26,40,48,164,98,7200,4800,3360,3600,1200,5760,4080,1856
Fruity Veggie Smoothie,2010-01-26,59,70,187,112,10500,7000,4900,5250,1750,8400,5950,3193
Spicy Veggie Stir-Fry,2010-01-26,59,64,189,113,9600,6400,4480,4800,1600,7680,5440,3919
Tropical Fruit Salad,2010-01-27,42,46,135,81,6900,4600,3220,3450,1150,5520,3910,1944
Garden Vegetable Medley,2010-01-27,65,73,130,78,10950,7300,5110,5475,1825,8760,6205,2756
Hearty Potato Curry,2010-01-27,61,69,164,98,10350,6900,4830,5175,1725,8280,5865,3242
Fruity Veggie Smoothie,2010-01-27,46,51,187,112,7650,5100,3570,3825,1275,6120,4335,2890
Spicy Veggie Stir-Fry,2010-01-27,40,48,189,113,7200,4800,3360,3600,1200,5760,4080,2136
Tropical Fruit Salad,2010-01-28,49,57,135,81,8550,5700,3990,4275,1425,6840,4845,1998
Garden Vegetable Medley,2010-01-28,51,57,130,78,8550,5700,3990,4275,1425,6840,4845,2184
Hearty Potato Curry,2010-01-28,45,49,164,98,7350,4900,3430,3675,1225,5880,4165,2578
Fruity Veggie Smoothie,2010-01-28,70,84,187,112,12600,8400,5880,6300,2100,10080,7140,3682
Spicy Veggie Stir-Fry,2010-01-28,47,53,189,113,7950,5300,3710,3975,1325,6360,4505,2894
Tropical Fruit Salad,2010-01-29,63,74,135,81,11100,7400,5180,5550,1850,8880,6290,2511
Garden Vegetable Medley,2010-01-29,68,81,130,78,12150,8100,5670,6075,2025,9720,6885,2522
Hearty Potato Curry,2010-01-29,45,50,164,98,7500,5000,3500,3750,1250,6000,4250,2480
Fruity Veggie Smoothie,2010-01-29,49,55,187,112,8250,5500,3850,4125,1375,6600,4675,3003
Spicy Veggie Stir-Fry,2010-01-29,56,63,189,113,9450,6300,4410,4725,1575,7560,5355,3465
Tropical Fruit Salad,2010-01-30,56,61,135,81,9150,6100,4270,4575,1525,7320,5185,2619
Garden Vegetable Medley,2010-01-30,46,50,130,78,7500,5000,3500,3750,1250,6000,4250,2080
Hearty Potato Curry,2010-01-30,70,80,164,98,12000,8000,5600,6000,2000,9600,6800,3640
Fruity Veggie Smoothie,2010-01-30,49,54,187,112,8100,5400,3780,4050,1350,6480,4590,3115
Spicy Veggie Stir-Fry,2010-01-30,44,50,189,113,7500,5000,3500,3750,1250,6000,4250,2666
Tropical Fruit Salad,2010-01-31,57,65,135,81,9750,6500,4550,4875,1625,7800,5525,2430
Garden Vegetable Medley,2010-01-31,47,51,130,78,7650,5100,3570,3825,1275,6120,4335,2132
Hearty Potato Curry,2010-01-31,55,65,164,98,9750,6500,4550,4875,1625,7800,5525,2650
Fruity Veggie Smoothie,2010-01-31,55,60,187,112,9000,6000,4200,4500,1500,7200,5100,3565
Spicy Veggie Stir-Fry,2010-01-31,48,54,189,113,8100,5400,3780,4050,1350,6480,4590,2970
Tropical Fruit Salad,2010-02-01,58,67,136,81,10050,6700,4690,5025,1675,8040,5695,2461
Garden Vegetable Medley,2010-02-01,64,74,131,78,11100,7400,5180,5550,1850,8880,6290,2612
Hearty Potato Curry,2010-02-01,56,67,165,99,10050,6700,4690,5025,1675,8040,5695,2607
Fruity Veggie Smoothie,2010-02-01,48,52,188,112,7800,5200,3640,3900,1300,6240,4420,3200
Spicy Veggie Stir-Fry,2010-02-01,49,56,191,114,8400,5600,3920,4200,1400,6720,4760,2975
Tropical Fruit Salad,2010-02-02,63,73,136,81,10950,7300,5110,5475,1825,8760,6205,2655
Garden Vegetable Medley,2010-02-02,50,58,131,78,8700,5800,4060,4350,1450,6960,4930,2026
Hearty Potato Curry,2010-02-02,67,79,165,99,11850,7900,5530,5925,1975,9480,6715,3234
Fruity Veggie Smoothie,2010-02-02,58,64,188,112,9600,6400,4480,4800,1600,7680,5440,3736
Spicy Veggie Stir-Fry,2010-02-02,45,53,191,114,7950,5300,3710,3975,1325,6360,4505,2553
Tropical Fruit Salad,2010-02-03,60,69,136,81,10350,6900,4830,5175,1725,8280,5865,2571
Garden Vegetable Medley,2010-02-03,43,50,131,78,7500,5000,3500,3750,1250,6000,4250,1733
Hearty Potato Curry,2010-02-03,48,54,165,99,8100,5400,3780,4050,1350,6480,4590,2574
Fruity Veggie Smoothie,2010-02-03,41,48,188,112,7200,4800,3360,3600,1200,5760,4080,2332
Spicy Veggie Stir-Fry,2010-02-03,52,60,191,114,9000,6000,4200,4500,1500,7200,5100,3092
Tropical Fruit Salad,2010-02-04,65,73,136,81,10950,7300,5110,5475,1825,8760,6205,2927
Garden Vegetable Medley,2010-02-04,42,50,131,78,7500,5000,3500,3750,1250,6000,4250,1602
Hearty Potato Curry,2010-02-04,52,61,165,99,9150,6100,4270,4575,1525,7320,5185,2541
Fruity Veggie Smoothie,2010-02-04,51,57,188,112,8550,5700,3990,4275,1425,6840,4845,3204
Spicy Veggie Stir-Fry,2010-02-04,53,60,191,114,9000,6000,4200,4500,1500,7200,5100,3283
Tropical Fruit Salad,2010-02-05,67,74,136,81,11100,7400,5180,5550,1850,8880,6290,3118
Garden Vegetable Medley,2010-02-05,66,74,131,78,11100,7400,5180,5550,1850,8880,6290,2874
Hearty Potato Curry,2010-02-05,43,51,165,99,7650,5100,3570,3825,1275,6120,4335,2046
Fruity Veggie Smoothie,2010-02-05,55,66,188,112,9900,6600,4620,4950,1650,7920,5610,2948
Spicy Veggie Stir-Fry,2010-02-05,58,67,191,114,10050,6700,4690,5025,1675,8040,5695,3440
Tropical Fruit Salad,2010-02-06,54,62,136,81,9300,6200,4340,4650,1550,7440,5270,2322
Garden Vegetable Medley,2010-02-06,41,47,131,78,7050,4700,3290,3525,1175,5640,3995,1705
Hearty Potato Curry,2010-02-06,42,49,165,99,7350,4900,3430,3675,1225,5880,4165,2079
Fruity Veggie Smoothie,2010-02-06,60,67,188,112,10050,6700,4690,5025,1675,8040,5695,3776
Spicy Veggie Stir-Fry,2010-02-06,47,55,191,114,8250,5500,3850,4125,1375,6600,4675,2707
Tropical Fruit Salad,2010-02-07,63,71,136,81,10650,7100,4970,5325,1775,8520,6035,2817
Garden Vegetable Medley,2010-02-07,64,74,131,78,11100,7400,5180,5550,1850,8880,6290,2612
Hearty Potato Curry,2010-02-07,65,71,165,99,10650,7100,4970,5325,1775,8520,6035,3696
Fruity Veggie Smoothie,2010-02-07,67,74,188,112,11100,7400,5180,5550,1850,8880,6290,4308
Spicy Veggie Stir-Fry,2010-02-07,60,72,191,114,10800,7200,5040,5400,1800,8640,6120,3252
Tropical Fruit Salad,2010-02-08,62,72,136,81,10800,7200,5040,5400,1800,8640,6120,2600
Garden Vegetable Medley,2010-02-08,66,75,131,78,11250,7500,5250,5625,1875,9000,6375,2796
Hearty Potato Curry,2010-02-08,53,59,165,99,8850,5900,4130,4425,1475,7080,5015,2904
Fruity Veggie Smoothie,2010-02-08,49,54,188,112,8100,5400,3780,4050,1350,6480,4590,3164
Spicy Veggie Stir-Fry,2010-02-08,46,51,191,114,7650,5100,3570,3825,1275,6120,4335,2972
Tropical Fruit Salad,2010-02-09,46,50,136,81,7500,5000,3500,3750,1250,6000,4250,2206
Garden Vegetable Medley,2010-02-09,61,69,131,78,10350,6900,4830,5175,1725,8280,5865,2609
Hearty Potato Curry,2010-02-09,57,64,165,99,9600,6400,4480,4800,1600,7680,5440,3069
Fruity Veggie Smoothie,2010-02-09,44,48,188,112,7200,4800,3360,3600,1200,5760,4080,2896
Spicy Veggie Stir-Fry,2010-02-09,62,70,191,114,10500,7000,4900,5250,1750,8400,5950,3862
Tropical Fruit Salad,2010-02-10,54,64,136,81,9600,6400,4480,4800,1600,7680,5440,2160
Garden Vegetable Medley,2010-02-10,42,46,131,78,6900,4600,3220,3450,1150,5520,3910,1914
Hearty Potato Curry,2010-02-10,43,49,165,99,7350,4900,3430,3675,1225,5880,4165,2244
Fruity Veggie Smoothie,2010-02-10,58,66,188,112,9900,6600,4620,4950,1650,7920,5610,3512
Spicy Veggie Stir-Fry,2010-02-10,41,45,191,114,6750,4500,3150,3375,1125,5400,3825,2701
Tropical Fruit Salad,2010-02-11,61,72,136,81,10800,7200,5040,5400,1800,8640,6120,2464
Garden Vegetable Medley,2010-02-11,51,58,131,78,8700,5800,4060,4350,1450,6960,4930,2157
Hearty Potato Curry,2010-02-11,40,48,165,99,7200,4800,3360,3600,1200,5760,4080,1848
Fruity Veggie Smoothie,2010-02-11,65,75,188,112,11250,7500,5250,5625,1875,9000,6375,3820
Spicy Veggie Stir-Fry,2010-02-11,69,77,191,114,11550,7700,5390,5775,1925,9240,6545,4401
Tropical Fruit Salad,2010-02-12,50,57,136,81,8550,5700,3990,4275,1425,6840,4845,2183
Garden Vegetable Medley,2010-02-12,50,58,131,78,8700,5800,4060,4350,1450,6960,4930,2026
Hearty Potato Curry,2010-02-12,62,72,165,99,10800,7200,5040,5400,1800,8640,6120,3102
Fruity Veggie Smoothie,2010-02-12,58,65,188,112,9750,6500,4550,4875,1625,7800,5525,3624
Spicy Veggie Stir-Fry,2010-02-12,42,47,191,114,7050,4700,3290,3525,1175,5640,3995,2664
Tropical Fruit Salad,2010-02-13,62,74,136,81,11100,7400,5180,5550,1850,8880,6290,2438
Garden Vegetable Medley,2010-02-13,66,72,131,78,10800,7200,5040,5400,1800,8640,6120,3030
Hearty Potato Curry,2010-02-13,52,57,165,99,8550,5700,3990,4275,1425,6840,4845,2937
Fruity Veggie Smoothie,2010-02-13,63,74,188,112,11100,7400,5180,5550,1850,8880,6290,3556
Spicy Veggie Stir-Fry,2010-02-13,41,45,191,114,6750,4500,3150,3375,1125,5400,3825,2701
Tropical Fruit Salad,2010-02-14,54,64,136,81,9600,6400,4480,4800,1600,7680,5440,2160
Garden Vegetable Medley,2010-02-14,68,76,131,78,11400,7600,5320,5700,1900,9120,6460,2980
Hearty Potato Curry,2010-02-14,60,69,165,99,10350,6900,4830,5175,1725,8280,5865,3069
Fruity Veggie Smoothie,2010-02-14,62,70,188,112,10500,7000,4900,5250,1750,8400,5950,3816
Spicy Veggie Stir-Fry,2010-02-14,43,49,191,114,7350,4900,3430,3675,1225,5880,4165,2627
Tropical Fruit Salad,2010-02-15,52,62,136,81,9300,6200,4340,4650,1550,7440,5270,2050
Garden Vegetable Medley,2010-02-15,54,62,131,78,9300,6200,4340,4650,1550,7440,5270,2238
Hearty Potato Curry,2010-02-15,43,47,165,99,7050,4700,3290,3525,1175,5640,3995,2442
Fruity Veggie Smoothie,2010-02-15,66,74,188,112,11100,7400,5180,5550,1850,8880,6290,4120
Spicy Veggie Stir-Fry,2010-02-15,40,44,191,114,6600,4400,3080,3300,1100,5280,3740,2624
Tropical Fruit Salad,2010-02-16,57,67,136,81,10050,6700,4690,5025,1675,8040,5695,2325
Garden Vegetable Medley,2010-02-16,67,77,131,78,11550,7700,5390,5775,1925,9240,6545,2771
Hearty Potato Curry,2010-02-16,61,70,165,99,10500,7000,4900,5250,1750,8400,5950,3135
Fruity Veggie Smoothie,2010-02-16,63,71,188,112,10650,7100,4970,5325,1775,8520,6035,3892
Spicy Veggie Stir-Fry,2010-02-16,46,51,191,114,7650,5100,3570,3825,1275,6120,4335,2972
Tropical Fruit Salad,2010-02-17,53,60,136,81,9000,6000,4200,4500,1500,7200,5100,2348
Garden Vegetable Medley,2010-02-17,47,53,131,78,7950,5300,3710,3975,1325,6360,4505,2023
Hearty Potato Curry,2010-02-17,59,69,165,99,10350,6900,4830,5175,1725,8280,5865,2904
Fruity Veggie Smoothie,2010-02-17,68,74,188,112,11100,7400,5180,5550,1850,8880,6290,4496
Spicy Veggie Stir-Fry,2010-02-17,48,56,191,114,8400,5600,3920,4200,1400,6720,4760,2784
Tropical Fruit Salad,2010-02-18,42,48,136,81,7200,4800,3360,3600,1200,5760,4080,1824
Garden Vegetable Medley,2010-02-18,48,52,131,78,7800,5200,3640,3900,1300,6240,4420,2232
Hearty Potato Curry,2010-02-18,54,61,165,99,9150,6100,4270,4575,1525,7320,5185,2871
Fruity Veggie Smoothie,2010-02-18,53,63,188,112,9450,6300,4410,4725,1575,7560,5355,2908
Spicy Veggie Stir-Fry,2010-02-18,48,53,191,114,7950,5300,3710,3975,1325,6360,4505,3126
Tropical Fruit Salad,2010-02-19,63,73,136,81,10950,7300,5110,5475,1825,8760,6205,2655
Garden Vegetable Medley,2010-02-19,47,52,131,78,7800,5200,3640,3900,1300,6240,4420,2101
Hearty Potato Curry,2010-02-19,40,45,165,99,6750,4500,3150,3375,1125,5400,3825,2145
Fruity Veggie Smoothie,2010-02-19,70,82,188,112,12300,8200,5740,6150,2050,9840,6970,3976
Spicy Veggie Stir-Fry,2010-02-19,43,51,191,114,7650,5100,3570,3825,1275,6120,4335,2399
Tropical Fruit Salad,2010-02-20,60,70,136,81,10500,7000,4900,5250,1750,8400,5950,2490
Garden Vegetable Medley,2010-02-20,56,67,131,78,10050,6700,4690,5025,1675,8040,5695,2110
Hearty Potato Curry,2010-02-20,41,48,165,99,7200,4800,3360,3600,1200,5760,4080,2013
Fruity Veggie Smoothie,2010-02-20,63,75,188,112,11250,7500,5250,5625,1875,9000,6375,3444
Spicy Veggie Stir-Fry,2010-02-20,61,72,191,114,10800,7200,5040,5400,1800,8640,6120,3443
Tropical Fruit Salad,2010-02-21,45,52,136,81,7800,5200,3640,3900,1300,6240,4420,1908
Garden Vegetable Medley,2010-02-21,61,73,131,78,10950,7300,5110,5475,1825,8760,6205,2297
Hearty Potato Curry,2010-02-21,62,73,165,99,10950,7300,5110,5475,1825,8760,6205,3003
Fruity Veggie Smoothie,2010-02-21,50,57,188,112,8550,5700,3990,4275,1425,6840,4845,3016
Spicy Veggie Stir-Fry,2010-02-21,56,66,191,114,9900,6600,4620,4950,1650,7920,5610,3172
Tropical Fruit Salad,2010-02-22,61,70,136,81,10500,7000,4900,5250,1750,8400,5950,2626
Garden Vegetable Medley,2010-02-22,51,60,131,78,9000,6000,4200,4500,1500,7200,5100,2001
Hearty Potato Curry,2010-02-22,67,76,165,99,11400,7600,5320,5700,1900,9120,6460,3531
Fruity Veggie Smoothie,2010-02-22,62,72,188,112,10800,7200,5040,5400,1800,8640,6120,3592
Spicy Veggie Stir-Fry,2010-02-22,40,47,191,114,7050,4700,3290,3525,1175,5640,3995,2282
Tropical Fruit Salad,2010-02-23,60,68,136,81,10200,6800,4760,5100,1700,8160,5780,2652
