item_name,month,year,sale_units,price_per_unit,stock_level,stock_apple,sale_apple,stock_banana,sale_banana,stock_cucumber,sale_cucumber,stock_okra,sale_okra,stock_oranges,sale_oranges,stock_patato,sale_patato,stock_tamto,sale_tamto
Tropical Fruit Salad,October,2023,81,814,123,18450,12150,12300,8100,0,0,0,0,15990,10530,0,0,0,0
Tropical Fruit Salad,November,2023,85,766,127,19050,12750,12700,8500,0,0,0,0,16510,11050,0,0,0,0
Tropical Fruit Salad,December,2023,89,730,120,18000,13350,12000,8900,0,0,0,0,15600,11570,0,0,0,0
Tropical Fruit Salad,January,2024,79,844,126,18900,11850,12600,7900,0,0,0,0,16380,10270,0,0,0,0
Tropical Fruit Salad,February,2024,83,1315,123,18450,12450,12300,8300,0,0,0,0,15990,10790,0,0,0,0
Tropical Fruit Salad,March,2024,76,915,110,16500,11400,11000,7600,0,0,0,0,14300,9880,0,0,0,0
Tropical Fruit Salad,April,2024,90,1063,137,20550,13500,13700,9000,0,0,0,0,17810,11700,0,0,0,0
Tropical Fruit Salad,May,2024,70,954,140,21000,10500,14000,7000,0,0,0,0,18200,9100,0,0,0,0
Tropical Fruit Salad,June,2024,80,1443,134,20100,12000,13400,8000,0,0,0,0,17420,10400,0,0,0,0
Tropical Fruit Salad,July,2024,70,1080,112,16800,10500,11200,7000,0,0,0,0,14560,9100,0,0,0,0
Tropical Fruit Salad,August,2024,80,709,136,20400,12000,13600,8000,0,0,0,0,17680,10400,0,0,0,0
Tropical Fruit Salad,September,2024,84,1080,131,19650,12600,13100,8400,0,0,0,0,17030,10920,0,0,0,0
Tropical Fruit Salad,October,2024,89,976,121,18150,13350,12100,8900,0,0,0,0,15730,11570,0,0,0,0
Tropical Fruit Salad,November,2024,78,919,117,17550,11700,11700,7800,0,0,0,0,15210,10140,0,0,0,0
Tropical Fruit Salad,December,2024,70,876,133,19950,10500,13300,7000,0,0,0,0,17290,9100,0,0,0,0
Garden Vegetable Medley,January,2020,51,541,108,0,0,0,0,8100,3825,6480,3060,0,0,0,0,5400,2550
Garden Vegetable Medley,February,2020,64,404,115,0,0,0,0,8625,4800,6900,3840,0,0,0,0,5750,3200
Garden Vegetable Medley,March,2020,55,363,103,0,0,0,0,7725,4125,6180,3300,0,0,0,0,5150,2750
Garden Vegetable Medley,April,2020,68,665,90,0,0,0,0,6750,5100,5400,4080,0,0,0,0,4500,3400
Garden Vegetable Medley,May,2020,66,670,117,0,0,0,0,8775,4950,7020,3960,0,0,0,0,5850,3300
Garden Vegetable Medley,June,2020,59,628,109,0,0,0,0,8175,4425,6540,3540,0,0,0,0,5450,2950
Garden Vegetable Medley,July,2020,53,654,107,0,0,0,0,8025,3975,6420,3180,0,0,0,0,5350,2650
Garden Vegetable Medley,August,2020,68,566,103,0,0,0,0,7725,5100,6180,4080,0,0,0,0,5150,3400
Garden Vegetable Medley,September,2020,70,395,97,0,0,0,0,7275,5250,5820,4200,0,0,0,0,4850,3500
Garden Vegetable Medley,October,2020,67,515,100,0,0,0,0,7500,5025,6000,4020,0,0,0,0,5000,3350
Garden Vegetable Medley,November,2020,63,675,116,0,0,0,0,8700,4725,6960,3780,0,0,0,0,5800,3150
Garden Vegetable Medley,December,2020,54,652,114,0,0,0,0,8550,4050,6840,3240,0,0,0,0,5700,2700
Garden Vegetable Medley,January,2021,64,649,107,0,0,0,0,8025,4800,6420,3840,0,0,0,0,5350,3200
Garden Vegetable Medley,February,2021,62,458,92,0,0,0,0,6900,4650,5520,3720,0,0,0,0,4600,3100
Garden Vegetable Medley,March,2021,56,629,97,0,0,0,0,7275,4200,5820,3360,0,0,0,0,4850,2800
Garden Vegetable Medley,April,2021,56,798,91,0,0,0,0,6825,4200,5460,3360,0,0,0,0,4550,2800
Garden Vegetable Medley,May,2021,69,804,95,0,0,0,0,7125,5175,5700,4140,0,0,0,0,4750,3450
Garden Vegetable Medley,June,2021,57,753,92,0,0,0,0,6900,4275,5520,3420,0,0,0,0,4600,2850
Garden Vegetable Medley,July,2021,50,672,101,0,0,0,0,7575,3750,6060,3000,0,0,0,0,5050,2500
Garden Vegetable Medley,August,2021,59,679,98,0,0,0,0,7350,4425,5880,3540,0,0,0,0,4900,2950
Garden Vegetable Medley,September,2021,58,412,101,0,0,0,0,7575,4350,6060,3480,0,0,0,0,5050,2900
Garden Vegetable Medley,October,2021,54,517,114,0,0,0,0,8550,4050,6840,3240,0,0,0,0,5700,2700
Garden Vegetable Medley,November,2021,63,810,95,0,0,0,0,7125,4725,5700,3780,0,0,0,0,4750,3150
Garden Vegetable Medley,December,2021,54,782,103,0,0,0,0,7725,4050,6180,3240,0,0,0,0,5150,2700
Garden Vegetable Medley,January,2022,50,778,102,0,0,0,0,7650,3750,6120,3000,0,0,0,0,5100,2500
Garden Vegetable Medley,February,2022,67,464,101,0,0,0,0,7575,5025,6060,4020,0,0,0,0,5050,3350
Garden Vegetable Medley,March,2022,51,754,108,0,0,0,0,8100,3825,6480,3060,0,0,0,0,5400,2550
Garden Vegetable Medley,April,2022,67,957,107,0,0,0,0,8025,5025,6420,4020,0,0,0,0,5350,3350
Garden Vegetable Medley,May,2022,51,964,111,0,0,0,0,8325,3825,6660,3060,0,0,0,0,5550,2550
Garden Vegetable Medley,June,2022,55,903,91,0,0,0,0,6825,4125,5460,3300,0,0,0,0,4550,2750
Garden Vegetable Medley,July,2022,70,806,98,0,0,0,0,7350,5250,5880,4200,0,0,0,0,4900,3500
Garden Vegetable Medley,August,2022,59,814,115,0,0,0,0,8625,4425,6900,3540,0,0,0,0,5750,2950
Garden Vegetable Medley,September,2022,61,559,99,0,0,0,0,7425,4575,5940,3660,0,0,0,0,4950,3050
Garden Vegetable Medley,October,2022,63,653,113,0,0,0,0,8475,4725,6780,3780,0,0,0,0,5650,3150
Garden Vegetable Medley,November,2022,61,972,94,0,0,0,0,7050,4575,5640,3660,0,0,0,0,4700,3050
Garden Vegetable Medley,December,2022,58,938,112,0,0,0,0,8400,4350,6720,3480,0,0,0,0,5600,2900
Garden Vegetable Medley,January,2023,52,933,102,0,0,0,0,7650,3900,6120,3120,0,0,0,0,5100,2600
Garden Vegetable Medley,February,2023,70,697,93,0,0,0,0,6975,5250,5580,4200,0,0,0,0,4650,3500
Garden Vegetable Medley,March,2023,61,904,104,0,0,0,0,7800,4575,6240,3660,0,0,0,0,5200,3050
Garden Vegetable Medley,April,2023,69,1148,93,0,0,0,0,6975,5175,5580,4140,0,0,0,0,4650,3450
Garden Vegetable Medley,May,2023,61,1156,93,0,0,0,0,6975,4575,5580,3660,0,0,0,0,4650,3050
Garden Vegetable Medley,June,2023,56,1083,112,0,0,0,0,8400,4200,6720,3360,0,0,0,0,5600,2800
Garden Vegetable Medley,July,2023,54,967,91,0,0,0,0,6825,4050,5460,3240,0,0,0,0,4550,2700
Garden Vegetable Medley,August,2023,70,976,97,0,0,0,0,7275,5250,5820,4200,0,0,0,0,4850,3500
Garden Vegetable Medley,September,2023,67,670,110,0,0,0,0,8250,5025,6600,4020,0,0,0,0,5500,3350
Garden Vegetable Medley,October,2023,62,783,113,0,0,0,0,8475,4650,6780,3720,0,0,0,0,5650,3100
Garden Vegetable Medley,November,2023,64,1166,95,0,0,0,0,7125,4800,5700,3840,0,0,0,0,4750,3200
Garden Vegetable Medley,December,2023,60,1125,116,0,0,0,0,8700,4500,6960,3600,0,0,0,0,5800,3000
Garden Vegetable Medley,January,2024,62,1119,110,0,0,0,0,8250,4650,6600,3720,0,0,0,0,5500,3100
Garden Vegetable Medley,February,2024,55,836,105,0,0,0,0,7875,4125,6300,3300,0,0,0,0,5250,2750
Garden Vegetable Medley,March,2024,62,1084,108,0,0,0,0,8100,4650,6480,3720,0,0,0,0,5400,3100
Garden Vegetable Medley,April,2024,63,1377,119,0,0,0,0,8925,4725,7140,3780,0,0,0,0,5950,3150
Garden Vegetable Medley,May,2024,70,1387,101,0,0,0,0,7575,5250,6060,4200,0,0,0,0,5050,3500
Garden Vegetable Medley,June,2024,53,1299,105,0,0,0,0,7875,3975,6300,3180,0,0,0,0,5250,2650
Garden Vegetable Medley,July,2024,67,1160,92,0,0,0,0,6900,5025,5520,4020,0,0,0,0,4600,3350
Garden Vegetable Medley,August,2024,64,1171,119,0,0,0,0,8925,4800,7140,3840,0,0,0,0,5950,3200
Garden Vegetable Medley,September,2024,67,689,117,0,0,0,0,8775,5025,7020,4020,0,0,0,0,5850,3350
Garden Vegetable Medley,October,2024,61,939,92,0,0,0,0,6900,4575,5520,3660,0,0,0,0,4600,3050
Garden Vegetable Medley,November,2024,66,1399,110,0,0,0,0,8250,4950,6600,3960,0,0,0,0,5500,3300
Garden Vegetable Medley,December,2024,68,1350,100,0,0,0,0,7500,5100,6000,4080,0,0,0,0,5000,3400
Hearty Potato Curry,January,2020,77,475,122,0,0,0,0,0,0,7320,4620,0,0,18300,11550,6100,3850
Hearty Potato Curry,February,2020,77,376,122,0,0,0,0,0,0,7320,4620,0,0,18300,11550,6100,3850
Hearty Potato Curry,March,2020,61,414,128,0,0,0,0,0,0,7680,3660,0,0,19200,9150,6400,3050
Hearty Potato Curry,April,2020,80,651,122,0,0,0,0,0,0,7320,4800,0,0,18300,12000,6100,4000
Hearty Potato Curry,May,2020,63,626,126,0,0,0,0,0,0,7560,3780,0,0,18900,9450,6300,3150
Hearty Potato Curry,June,2020,67,560,113,0,0,0,0,0,0,6780,4020,0,0,16950,10050,5650,3350
Hearty Potato Curry,July,2020,61,433,124,0,0,0,0,0,0,7440,3660,0,0,18600,9150,6200,3050
Hearty Potato Curry,August,2020,71,665,105,0,0,0,0,0,0,6300,4260,0,0,15750,10650,5250,3550
Hearty Potato Curry,September,2020,68,647,119,0,0,0,0,0,0,7140,4080,0,0,17850,10200,5950,3400
Hearty Potato Curry,October,2020,63,675,102,0,0,0,0,0,0,6120,3780,0,0,15300,9450,5100,3150
Hearty Potato Curry,November,2020,74,555,110,0,0,0,0,0,0,6600,4440,0,0,16500,11100,5500,3700
Hearty Potato Curry,December,2020,69,551,129,0,0,0,0,0,0,7740,4140,0,0,19350,10350,6450,3450
Hearty Potato Curry,January,2021,69,531,118,0,0,0,0,0,0,7080,4140,0,0,17700,10350,5900,3450
Hearty Potato Curry,February,2021,65,414,118,0,0,0,0,0,0,7080,3900,0,0,17700,9750,5900,3250
Hearty Potato Curry,March,2021,78,496,125,0,0,0,0,0,0,7500,4680,0,0,18750,11700,6250,3900
Hearty Potato Curry,April,2021,73,781,121,0,0,0,0,0,0,7260,4380,0,0,18150,10950,6050,3650
Hearty Potato Curry,May,2021,68,751,123,0,0,0,0,0,0,7380,4080,0,0,18450,10200,6150,3400
Hearty Potato Curry,June,2021,61,672,111,0,0,0,0,0,0,6660,3660,0,0,16650,9150,5550,3050
Hearty Potato Curry,July,2021,75,519,124,0,0,0,0,0,0,7440,4500,0,0,18600,11250,6200,3750
Hearty Potato Curry,August,2021,67,798,102,0,0,0,0,0,0,6120,4020,0,0,15300,10050,5100,3350
Hearty Potato Curry,September,2021,61,776,125,0,0,0,0,0,0,7500,3660,0,0,18750,9150,6250,3050
Hearty Potato Curry,October,2021,76,810,117,0,0,0,0,0,0,7020,4560,0,0,17550,11400,5850,3800
Hearty Potato Curry,November,2021,72,666,130,0,0,0,0,0,0,7800,4320,0,0,19500,10800,6500,3600
Hearty Potato Curry,December,2021,69,661,124,0,0,0,0,0,0,7440,4140,0,0,18600,10350,6200,3450
Hearty Potato Curry,January,2022,76,533,113,0,0,0,0,0,0,6780,4560,0,0,16950,11400,5650,3800
Hearty Potato Curry,February,2022,62,534,109,0,0,0,0,0,0,6540,3720,0,0,16350,9300,5450,3100
Hearty Potato Curry,March,2022,64,567,118,0,0,0,0,0,0,7080,3840,0,0,17700,9600,5900,3200
Hearty Potato Curry,April,2022,76,937,123,0,0,0,0,0,0,7380,4560,0,0,18450,11400,6150,3800
Hearty Potato Curry,May,2022,75,901,123,0,0,0,0,0,0,7380,4500,0,0,18450,11250,6150,3750
Hearty Potato Curry,June,2022,63,806,127,0,0,0,0,0,0,7620,3780,0,0,19050,9450,6350,3150
Hearty Potato Curry,July,2022,73,572,122,0,0,0,0,0,0,7320,4380,0,0,18300,10950,6100,3650
Hearty Potato Curry,August,2022,64,957,108,0,0,0,0,0,0,6480,3840,0,0,16200,9600,5400,3200
Hearty Potato Curry,September,2022,65,931,130,0,0,0,0,0,0,7800,3900,0,0,19500,9750,6500,3250
Hearty Potato Curry,October,2022,74,972,124,0,0,0,0,0,0,7440,4440,0,0,18600,11100,6200,3700
Hearty Potato Curry,November,2022,60,799,128,0,0,0,0,0,0,7680,3600,0,0,19200,9000,6400,3000
Hearty Potato Curry,December,2022,62,793,118,0,0,0,0,0,0,7080,3720,0,0,17700,9300,5900,3100
Hearty Potato Curry,January,2023,63,639,107,0,0,0,0,0,0,6420,3780,0,0,16050,9450,5350,3150
Hearty Potato Curry,February,2023,79,640,129,0,0,0,0,0,0,7740,4740,0,0,19350,11850,6450,3950
Hearty Potato Curry,March,2023,74,680,125,0,0,0,0,0,0,7500,4440,0,0,18750,11100,6250,3700
Hearty Potato Curry,April,2023,80,1124,122,0,0,0,0,0,0,7320,4800,0,0,18300,12000,6100,4000
Hearty Potato Curry,May,2023,76,1081,128,0,0,0,0,0,0,7680,4560,0,0,19200,11400,6400,3800
Hearty Potato Curry,June,2023,63,967,101,0,0,0,0,0,0,6060,3780,0,0,15150,9450,5050,3150
Hearty Potato Curry,July,2023,66,652,101,0,0,0,0,0,0,6060,3960,0,0,15150,9900,5050,3300
Hearty Potato Curry,August,2023,68,1148,112,0,0,0,0,0,0,6720,4080,0,0,16800,10200,5600,3400
Hearty Potato Curry,September,2023,74,1117,114,0,0,0,0,0,0,6840,4440,0,0,17100,11100,5700,3700
Hearty Potato Curry,October,2023,71,1166,119,0,0,0,0,0,0,7140,4260,0,0,17850,10650,5950,3550
Hearty Potato Curry,November,2023,79,958,123,0,0,0,0,0,0,7380,4740,0,0,18450,11850,6150,3950
Hearty Potato Curry,December,2023,61,951,124,0,0,0,0,0,0,7440,3660,0,0,18600,9150,6200,3050
Hearty Potato Curry,January,2024,64,665,122,0,0,0,0,0,0,7320,3840,0,0,18300,9600,6100,3200
Hearty Potato Curry,February,2024,80,768,104,0,0,0,0,0,0,6240,4800,0,0,15600,12000,5200,4000
Hearty Potato Curry,March,2024,74,816,119,0,0,0,0,0,0,7140,4440,0,0,17850,11100,5950,3700
Hearty Potato Curry,April,2024,78,1348,129,0,0,0,0,0,0,7740,4680,0,0,19350,11700,6450,3900
Hearty Potato Curry,May,2024,79,1297,110,0,0,0,0,0,0,6600,4740,0,0,16500,11850,5500,3950
Hearty Potato Curry,June,2024,64,1160,114,0,0,0,0,0,0,6840,3840,0,0,17100,9600,5700,3200
Hearty Potato Curry,July,2024,77,782,128,0,0,0,0,0,0,7680,4620,0,0,19200,11550,6400,3850
Hearty Potato Curry,August,2024,75,1377,108,0,0,0,0,0,0,6480,4500,0,0,16200,11250,5400,3750
Hearty Potato Curry,September,2024,70,1340,117,0,0,0,0,0,0,7020,4200,0,0,17550,10500,5850,3500
Hearty Potato Curry,October,2024,71,1399,110,0,0,0,0,0,0,6600,4260,0,0,16500,10650,5500,3550
Hearty Potato Curry,November,2024,63,1149,129,0,0,0,0,0,0,7740,3780,0,0,19350,9450,6450,3150
Hearty Potato Curry,December,2024,75,1141,120,0,0,0,0,0,0,7200,4500,0,0,18000,11250,6000,3750
Fruity Veggie Smoothie,January,2020,90,497,134,13400,9000,13400,9000,10050,6750,0,0,17420,11700,0,0,0,0
Fruity Veggie Smoothie,February,2020,80,589,127,12700,8000,12700,8000,9525,6000,0,0,16510,10400,0,0,0,0
Fruity Veggie Smoothie,March,2020,93,680,146,14600,9300,14600,9300,10950,6975,0,0,18980,12090,0,0,0,0
Fruity Veggie Smoothie,April,2020,95,611,141,14100,9500,14100,9500,10575,7125,0,0,18330,12350,0,0,0,0
Fruity Veggie Smoothie,May,2020,85,496,141,14100,8500,14100,8500,10575,6375,0,0,18330,11050,0,0,0,0
Fruity Veggie Smoothie,June,2020,83,553,131,13100,8300,13100,8300,9825,6225,0,0,17030,10790,0,0,0,0
Fruity Veggie Smoothie,July,2020,84,418,122,12200,8400,12200,8400,9150,6300,0,0,15860,10920,0,0,0,0
Fruity Veggie Smoothie,August,2020,92,610,125,12500,9200,12500,9200,9375,6900,0,0,16250,11960,0,0,0,0
Fruity Veggie Smoothie,September,2020,93,506,139,13900,9300,13900,9300,10425,6975,0,0,18070,12090,0,0,0,0
Fruity Veggie Smoothie,October,2020,82,466,123,12300,8200,12300,8200,9225,6150,0,0,15990,10660,0,0,0,0
Fruity Veggie Smoothie,November,2020,85,408,121,12100,8500,12100,8500,9075,6375,0,0,15730,11050,0,0,0,0
Fruity Veggie Smoothie,December,2020,95,632,148,14800,9500,14800,9500,11100,7125,0,0,19240,12350,0,0,0,0
Fruity Veggie Smoothie,January,2021,90,596,121,12100,9000,12100,9000,9075,6750,0,0,15730,11700,0,0,0,0
Fruity Veggie Smoothie,February,2021,93,706,131,13100,9300,13100,9300,9825,6975,0,0,17030,12090,0,0,0,0
Fruity Veggie Smoothie,March,2021,95,816,140,14000,9500,14000,9500,10500,7125,0,0,18200,12350,0,0,0,0
Fruity Veggie Smoothie,April,2021,90,733,150,15000,9000,15000,9000,11250,6750,0,0,19500,11700,0,0,0,0
Fruity Veggie Smoothie,May,2021,94,552,140,14000,9400,14000,9400,10500,7050,0,0,18200,12220,0,0,0,0
Fruity Veggie Smoothie,June,2021,98,595,120,12000,9800,12000,9800,9000,7350,0,0,15600,12740,0,0,0,0
Fruity Veggie Smoothie,July,2021,89,501,121,12100,8900,12100,8900,9075,6675,0,0,15730,11570,0,0,0,0
Fruity Veggie Smoothie,August,2021,91,732,121,12100,9100,12100,9100,9075,6825,0,0,15730,11830,0,0,0,0
Fruity Veggie Smoothie,September,2021,91,696,131,13100,9100,13100,9100,9825,6825,0,0,17030,11830,0,0,0,0
Fruity Veggie Smoothie,October,2021,97,652,123,12300,9700,12300,9700,9225,7275,0,0,15990,12610,0,0,0,0
Fruity Veggie Smoothie,November,2021,97,582,143,14300,9700,14300,9700,10725,7275,0,0,18590,12610,0,0,0,0
Fruity Veggie Smoothie,December,2021,92,758,124,12400,9200,12400,9200,9300,6900,0,0,16120,11960,0,0,0,0
Fruity Veggie Smoothie,January,2022,99,715,122,12200,9900,12200,9900,9150,7425,0,0,15860,12870,0,0,0,0
Fruity Veggie Smoothie,February,2022,92,847,147,14700,9200,14700,9200,11025,6900,0,0,19110,11960,0,0,0,0
Fruity Veggie Smoothie,March,2022,94,979,142,14200,9400,14200,9400,10650,7050,0,0,18460,12220,0,0,0,0
Fruity Veggie Smoothie,April,2022,86,879,149,14900,8600,14900,8600,11175,6450,0,0,19370,11180,0,0,0,0
Fruity Veggie Smoothie,May,2022,87,612,146,14600,8700,14600,8700,10950,6525,0,0,18980,11310,0,0,0,0
Fruity Veggie Smoothie,June,2022,92,714,129,12900,9200,12900,9200,9675,6900,0,0,16770,11960,0,0,0,0
Fruity Veggie Smoothie,July,2022,90,583,139,13900,9000,13900,9000,10425,6750,0,0,18070,11700,0,0,0,0
Fruity Veggie Smoothie,August,2022,90,878,128,12800,9000,12800,9000,9600,6750,0,0,16640,11700,0,0,0,0
Fruity Veggie Smoothie,September,2022,88,835,150,15000,8800,15000,8800,11250,6600,0,0,19500,11440,0,0,0,0
Fruity Veggie Smoothie,October,2022,85,782,144,14400,8500,14400,8500,10800,6375,0,0,18720,11050,0,0,0,0
Fruity Veggie Smoothie,November,2022,97,588,150,15000,9700,15000,9700,11250,7275,0,0,19500,12610,0,0,0,0
Fruity Veggie Smoothie,December,2022,87,909,139,13900,8700,13900,8700,10425,6525,0,0,18070,11310,0,0,0,0
Fruity Veggie Smoothie,January,2023,94,858,139,13900,9400,13900,9400,10425,7050,0,0,18070,12220,0,0,0,0
Fruity Veggie Smoothie,February,2023,80,1016,143,14300,8000,14300,8000,10725,6000,0,0,18590,10400,0,0,0,0
Fruity Veggie Smoothie,March,2023,94,1174,125,12500,9400,12500,9400,9375,7050,0,0,16250,12220,0,0,0,0
Fruity Veggie Smoothie,April,2023,100,1054,121,12100,10000,12100,10000,9075,7500,0,0,15730,13000,0,0,0,0
Fruity Veggie Smoothie,May,2023,99,734,129,12900,9900,12900,9900,9675,7425,0,0,16770,12870,0,0,0,0
Fruity Veggie Smoothie,June,2023,83,856,135,13500,8300,13500,8300,10125,6225,0,0,17550,10790,0,0,0,0
Fruity Veggie Smoothie,July,2023,97,699,141,14100,9700,14100,9700,10575,7275,0,0,18330,12610,0,0,0,0
Fruity Veggie Smoothie,August,2023,86,1053,121,12100,8600,12100,8600,9075,6450,0,0,15730,11180,0,0,0,0
Fruity Veggie Smoothie,September,2023,86,1002,121,12100,8600,12100,8600,9075,6450,0,0,15730,11180,0,0,0,0
Fruity Veggie Smoothie,October,2023,93,938,121,12100,9300,12100,9300,9075,6975,0,0,15730,12090,0,0,0,0
Fruity Veggie Smoothie,November,2023,95,705,146,14600,9500,14600,9500,10950,7125,0,0,18980,12350,0,0,0,0
Fruity Veggie Smoothie,December,2023,85,1090,122,12200,8500,12200,8500,9150,6375,0,0,15860,11050,0,0,0,0
Fruity Veggie Smoothie,January,2024,93,1029,132,13200,9300,13200,9300,9900,6975,0,0,17160,12090,0,0,0,0
Fruity Veggie Smoothie,February,2024,100,1219,120,12000,10000,12000,10000,9000,7500,0,0,15600,13000,0,0,0,0
Fruity Veggie Smoothie,March,2024,94,1408,141,14100,9400,14100,9400,10575,7050,0,0,18330,12220,0,0,0,0
Fruity Veggie Smoothie,April,2024,88,1264,132,13200,8800,13200,8800,9900,6600,0,0,17160,11440,0,0,0,0
Fruity Veggie Smoothie,May,2024,93,880,123,12300,9300,12300,9300,9225,6975,0,0,15990,12090,0,0,0,0
Fruity Veggie Smoothie,June,2024,100,1027,130,13000,10000,13000,10000,9750,7500,0,0,16900,13000,0,0,0,0
Fruity Veggie Smoothie,July,2024,94,838,126,12600,9400,12600,9400,9450,7050,0,0,16380,12220,0,0,0,0
Fruity Veggie Smoothie,August,2024,92,1263,143,14300,9200,14300,9200,10725,6900,0,0,18590,11960,0,0,0,0
Fruity Veggie Smoothie,September,2024,97,1202,147,14700,9700,14700,9700,11025,7275,0,0,19110,12610,0,0,0,0
